HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",304SM51WA347Q2CNPUSR47OY0Y1BSR,ANQUSYFW18QMN,Approved,"Sat Jan 07 14:15:16 PST 2017","Sat Jan 07 14:17:16 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/whoB22_1.png,seqOfTimestamps:1483827414780,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/whoB22_1.png,seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3DYGAII7PL8XHGYKGVLN4REMZEVPQ1,A6WAWWPPA74NJ,Approved,"Sat Jan 07 14:16:54 PST 2017","Sat Jan 07 14:18:49 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB25_2.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_165.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_165.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_165.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_165.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis652.png","seqOfTimestamps:1483827459668,1483827489980,1483827497810,1483827513665,1483827520064,1483827523326","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB25_2.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis652.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_165.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",30ZX6P7VF8VK3MT1J7Q2BDU7A9BJ2H,A1A3TGZ7DKJWRW,Approved,"Sat Jan 07 14:20:33 PST 2017","Sat Jan 07 14:22:48 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_520.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost77.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj395.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj162.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost505.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis230.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis564.png","seqOfTimestamps:1483827672222,1483827710813,1483827736821,1483827739301,1483827745861,1483827750301,1483827763612","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj162.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost77.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj395.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis564.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost505.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/vis230.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_520.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3TS1AR6UQQEBKL4B6TGCS6JNSILF7V,AT9ISPCWZQ0EL,Approved,"Sat Jan 07 14:45:33 PST 2017","Sat Jan 07 14:46:02 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/whoB22_1.png,seqOfTimestamps:1483829159883,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/whoB22_1.png,seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3M81GAB8A0JVDMXAXQ3M979XIALQBM,A2JOYFL2Q26WPK,Approved,"Sat Jan 07 15:04:13 PST 2017","Sat Jan 07 15:06:48 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/wsj340.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis652.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis652.png","seqOfTimestamps:1483830273191,1483830325963,1483830362961","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/wsj340.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis652.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3QHK8ZVMIMIKMPHX5LVQSLA384YBLI,A2GR3333S2F53G,Approved,"Sat Jan 07 15:04:32 PST 2017","Sat Jan 07 15:11:51 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_390.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis564.png","seqOfTimestamps:1483830557988,1483830700111","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_390.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis564.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3KKG4CDWKIY50OVF19IDFYD2YI1499,AG2RMZJ7QVGKZ,Approved,"Sat Jan 07 15:21:28 PST 2017","Sat Jan 07 15:23:32 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost83.png,seqOfTimestamps:1483831362614,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost83.png,seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3A1COHJ8NJVZYV00BOWI9RRVJH4H8I,A25YVH1P92C8F4,Approved,"Sat Jan 07 15:10:04 PST 2017","Sat Jan 07 15:23:36 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj340.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB15_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoJ48_2.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj308.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj553.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoL06.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj147.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB22_1.png","seqOfTimestamps:1483831304747,1483831313406,1483831317787,1483831324001,1483831331040,1483831386368,1483831389241,1483831409018","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj308.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj553.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoL06.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj340.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB22_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj147.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB15_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoJ48_2.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3RRCEFRB7MCOOHACZTW9648SMI44BJ,A2VDGWD0BBMSP2,Approved,"Sat Jan 07 15:22:46 PST 2017","Sat Jan 07 15:24:39 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost217.png,seqOfTimestamps:1483831444331,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost217.png,seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3MYYFCXHJ37KFYINFFON7FZP2VW4G0,AXAOSGHXKV21H,Approved,"Sat Jan 07 15:24:15 PST 2017","Sat Jan 07 15:26:00 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost376.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoN05.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost217.png","seqOfTimestamps:1483831466896,1483831511986,1483831552193","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoN05.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost376.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost217.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3TE3O85730811ACERCZBD4GYKQB2RY,A1XW90XCUVFIIL,Approved,"Sat Jan 07 15:42:54 PST 2017","Sat Jan 07 15:45:01 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost217.png,seqOfTimestamps:1483832639677,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost217.png,seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3LWJHTCVCCMLQ39Q2SPISX0IX8EFQU,A2GEFC6X75ILDA,Approved,"Sat Jan 07 15:54:19 PST 2017","Sat Jan 07 15:57:02 PST 2017","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_454.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_454.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_454.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost187.png","seqOfTimestamps:1483833400769,1483833405545,1483833408548,1483833410730","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/visMost187.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/economist_daily_chart_454.png",seqOfAllImages:,
3YZ7A3YHR5T2E2XLYIWCC2SIC0QS5L,"Image Search Task with Caption Provided."," ",3R6BYFZZP7C5Z0A2O6KAM5WBUB1FXR,A2VCFXW7EYMG0Z,Approved,"Sat Jan 07 15:58:37 PST 2017","Sat Jan 07 15:59:30 PST 2017",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis697.png,seqOfTimestamps:1483833536989,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8_pred/vis697.png,seqOfAllImages:,
