HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3GLB5JMZFXVXFU1G8QPGAJTUB6VDGI,A3296G2BBVQSC2,Approved,"Thu Sep 08 00:11:28 PDT 2016","Thu Sep 08 00:13:08 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,seqOfTimestamps:1473318770894,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3LOTDFNYA7ZQA05CE1OOKMI3H71FWU,ANTGGK8KPARXM,Approved,"Thu Sep 08 00:20:28 PDT 2016","Thu Sep 08 00:23:19 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB22_1.png,seqOfTimestamps:1473319371548,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB22_1.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3LPW2N6LKT2LGZNIDPWEGM6T7XC5U2,A3GBMZ9UKW95UP,Approved,"Thu Sep 08 00:23:57 PDT 2016","Thu Sep 08 00:26:06 PDT 2016","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/whoK19_1.png","seqOfTimestamps:1473319520197,1473319554306,1473319560051","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/whoK19_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png",seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3OLF68YTN91T3N29DWSW2XLCPO0AFG,A3HVMHCFCY71AG,Approved,"Thu Sep 08 04:12:30 PDT 2016","Thu Sep 08 04:13:33 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost217.png,seqOfTimestamps:1473333195854,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost217.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",358UUM7WRZ38NB9KXOG69VX5R457RH,A263KPSY1QM91M,Approved,"Thu Sep 08 04:26:21 PDT 2016","Thu Sep 08 04:28:49 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/whoB22_1.png,seqOfTimestamps:1473334273166,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/whoB22_1.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3ON104KXQKWGCK8NUKS5TILCSHUW4P,A1X57NNB77RTSD,Approved,"Thu Sep 08 05:06:53 PDT 2016","Thu Sep 08 05:13:56 PDT 2016","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost376.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost376.png","seqOfTimestamps:1473336799622,1473336857503",imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost376.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",30OG32W0SUB8HSW2RPDV6LKCCUKENM,A2ZE2IPHK152KA,Approved,"Thu Sep 08 05:13:15 PDT 2016","Thu Sep 08 05:14:11 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,seqOfTimestamps:1473336838454,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost83.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",32N49TQG3GIIZKOZDBX0KJOYDIOVAP,AY5D2DASBURUC,Approved,"Thu Sep 08 05:51:31 PDT 2016","Thu Sep 08 05:52:44 PDT 2016",seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost143.png,seqOfTimestamps:1473339147547,imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost143.png,seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3VHP9MDGRNKHW2Z7XAON8SB0PRMFCO,A1AI95378WJXTS,Approved,"Thu Sep 08 06:01:12 PDT 2016","Thu Sep 08 06:02:48 PDT 2016","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/wsj108.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost77.png","seqOfTimestamps:1473339729949,1473339744261","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/visMost77.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails8/wsj108.png",seqOfAllImages:,
3DFYDSXB2W0Q0E4ACPV6SDTBE1IJUV,"Image Search Task with Caption Provided."," ",3TDXMTX3CBUCQCSWORH5PPWI9X56IG,A28M9OO1MZCE1,Approved,"Thu Sep 08 07:10:32 PDT 2016","Thu Sep 08 07:13:30 PDT 2016","seqOfImageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_4.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoJ33.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoQ26.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoO06_2.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB32_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_324.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_89.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_110.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj405.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_106.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/treasuryB15.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost217.png","seqOfTimestamps:1473343879730,1473343886681,1473343891165,1473343897553,1473343903316,1473343914328,1473343920698,1473343925548,1473343949963,1473343966650,1473343986829,1473343994831","imageSelections:https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoB32_1.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_324.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_110.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/wsj405.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/visMost217.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoJ33.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_4.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_89.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoQ26.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/whoO06_2.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/economist_daily_chart_106.png,https://people.csail.mit.edu/zoya/VisThumbnails/thumbnails0/treasuryB15.png",seqOfAllImages:,
