Fiscal Year,Service,Department,Project,Project ID,Fund,Fund Type,Thru FY Actuals,FY Approved
2016,Operations,Property and Construction Management,201 Rivermoor Street Generator,CPM23946,City Bonds,G.O. Authorization,$0.00,$1410600.00
2016,Operations,Property and Construction Management,201 Rivermoor Street Generator,CPM23946,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,26 Court Street Renovation,CPM23470,City Bonds,G.O. Authorization,$0.00,$4800000.00
2016,Operations,Property and Construction Management,26 Court Street Renovation,CPM23470,City Bonds,G.O. Authorization,$0.00,$15200000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,300 Frontage Road Improvements,CTD24146,City Bonds,G.O. Authorization,$0.00,$463807.00
2016,"Streets, Transportation & Sanitation",Transportation Department,300 Frontage Road Improvements,CTD24146,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,41 New Chardon Street Improvements,CPM24112,City Bonds,G.O. Authorization,$0.00,$3500000.00
2016,Operations,Property and Construction Management,41 New Chardon Street Improvements,CPM24112,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Accessible Pedestrian Signals,CTD23607,City Bonds,G.O. Authorization,$0.00,$750000.00
2016,"Streets, Transportation & Sanitation",Transportation Department,Accessible Pedestrian Signals,CTD23607,City Bonds,G.O. Authorization,$0.00,$1000000.00
2016,Education,School Department,Access Improvements at Henderson Inclusion Upper School,CPS23992,City Bonds,G.O. Authorization,$0.00,$1400000.00
2016,Education,School Department,Access Improvements at Henderson Inclusion Upper School,CPS23992,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Access Improvements at Henderson Inclusion Upper School Phase II,CPS24312,Revenue Calculations,Capital Grants,$0.00,$0.00
2016,Education,School Department,Access Improvements at Henderson Inclusion Upper School Phase II,CPS24312,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Education,School Department,Access Improvements at Henderson Inclusion Upper School Phase II,CPS24312,City Bonds,G.O. Authorization,$0.00,$2630000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,ADA/AAB Pedestrian Ramps,CPW23084,City Bonds,G.O. Authorization,$0.00,$4800000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,ADA/AAB Pedestrian Ramps,CPW23084,City Bonds,G.O. Authorization,$0.00,$16431827.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Adams/King Playground,CPR23566,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Adams/King Playground,CPR23566,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,Arts & Culture,Library Department,Adams Street Branch Library,CLD21626,City Bonds,G.O. Authorization,$0.00,$845000.00
2016,Arts & Culture,Library Department,Adams Street Branch Library,CLD21626,City Bonds,G.O. Authorization,$0.00,$605000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,City Bonds,G.O. Authorization,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,City Bonds,G.O. Authorization,$0.00,$5592507.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,Federal grant,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,State grant,Non Capital Fund,$0.00,$0.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,State grant,Non Capital Fund,$0.00,$11600000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,Alford Street Bridge,CPW21955,Federal grant,Non Capital Fund,$0.00,$46400000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,American Legion Bridge,CPW22796,State grant,Non Capital Fund,$0.00,$600000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,American Legion Bridge,CPW22796,City Bonds,G.O. Authorization,$0.00,$350000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,American Legion Bridge,CPW22796,Federal grant,Non Capital Fund,$0.00,$2400000.00
2016,"Streets, Transportation & Sanitation",Public Works Department,American Legion Bridge,CPW22796,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,Animal Shelter,CPM23942,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Operations,Property and Construction Management,Animal Shelter,CPM23942,City Bonds,G.O. Authorization,$0.00,$583000.00
2016,Public Safety,Police Department,Area A-1 and Area D-4 Stations,CPD23867,City Bonds,G.O. Authorization,$0.00,$300000.00
2016,Public Safety,Police Department,Area A-1 and Area D-4 Stations,CPD23867,City Bonds,G.O. Authorization,$0.00,$2200000.00
2016,Public Safety,Police Department,Area C-6 Station Roof Replacement,CPD23487,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Area C-6 Station Roof Replacement,CPD23487,City Bonds,G.O. Authorization,$0.00,$360000.00
2016,Public Safety,Police Department,Area D-14 Station,CPD23865,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Public Safety,Police Department,Area D-14 Station,CPD23865,City Bonds,G.O. Authorization,$0.00,$360000.00
2016,Public Safety,Police Department,Area E-5 Station,CPD23866,City Bonds,G.O. Authorization,$0.00,$150000.00
2016,Public Safety,Police Department,Area E-5 Station,CPD23866,City Bonds,G.O. Authorization,$0.00,$564000.00
2016,"Environment, Energy & Open Space",Parks and Recreation Department,Back Bay Fens Westland Avenue Entrance,CPR24228,City Bonds,G.O. Authorization,$0.00,$820000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Clougherty Pool,CCC23608,City Bonds,G.O. Authorization,$0.00,$400000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Clougherty Pool,CCC23608,City Bonds,G.O. Authorization,$0.00,$2300000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Gallivan Community Center,CCC24322,City Bonds,G.O. Authorization,$0.00,$1600000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Gallivan Community Center,CCC24322,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Johnson Community Center,CCC24329,City Bonds,G.O. Authorization,$0.00,$846000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Johnson Community Center,CCC24329,City Bonds,G.O. Authorization,$0.00,$504000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Paris Street Community Center,CCC23498,City Bonds,G.O. Authorization,$0.00,$0.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Paris Street Community Center,CCC23498,City Bonds,G.O. Authorization,$0.00,$10000000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Paris Street Pool,CCC24306,City Bonds,G.O. Authorization,$0.00,$3250000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Paris Street Pool,CCC24306,City Bonds,G.O. Authorization,$0.00,$500000.00
2016,Health & Human Services,Boston Center for Youth and Families,BCYF Tobin Community Center Site Study,CCC23882,City Bonds,G.O. Authorization,$0.00,$50000.00
