Fiscal Year,Cabinet,Department,Program,Expense Type,Expense Category,Recommended Amount,Approved Amount,Account Name,Fund,Fund Type,Program Number,Account Number
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Parks Maintenance,Contractual Services,Garbage/Waste Removal,$203100.00,$203100.00,Garbage/Waste Removal, General Fund , Tax Supported Funds ,300201,52500
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Parks Maintenance,Contractual Services,Snow Removal,$52000.00,$52000.00,Snow Removal, General Fund , Tax Supported Funds ,300201,52400
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Cemetery,Contractual Services,Utilities,$37665.17,$37665.17,Utilities, General Fund , Tax Supported Funds ,400100,52200
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Parks Design & Construction,Contractual Services,Utilities,$793160.00,$793160.00,Utilities, General Fund , Tax Supported Funds ,300400,52200
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Parks Maintenance,Contractual Services,Utilities,$815990.03,$815990.03,Utilities, General Fund , Tax Supported Funds ,300201,52200
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Cemetery,Contractual Services,Communications,$2880.00,$2880.00,Communications, General Fund , Tax Supported Funds ,400100,52100
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Citywide Recreation,Contractual Services,Communications,$7800.00,$7800.00,Communications, General Fund , Tax Supported Funds ,300300,52100
2016,"Environment, Energy & Open Space",Parks & Recreation Department,Parks & Recreation Administration,Contractual Services,Communications,$193000.00,$193000.00,Communications, General Fund , Tax Supported Funds ,300100,52100
2016,Information & Technology,Department of Innovation and Technology,"Policy, Planning and Innovation",Contractual Services,Contracted Services,$977800.00,$977800.00,Contracted Services, General Fund , Tax Supported Funds ,149100,52900
2016,Information & Technology,Department of Innovation and Technology,IT Operations and Service Delivery,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,149500,52800
2016,Information & Technology,Department of Innovation and Technology,IT Technical Services,Contractual Services,Transportation of Persons,$7500.00,$7500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149400,52800
2016,Information & Technology,Department of Innovation and Technology,eGovernment,Contractual Services,Transportation of Persons,$1500.00,$1500.00,Transportation of Persons, General Fund , Tax Supported Funds ,149300,52800
2016,Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,Transportation of Persons,$15000.00,$15000.00,Transportation of Persons, General Fund , Tax Supported Funds ,149200,52800
