Fiscal Year,Cabinet,Department,Program,Expense Type,Expense Category,Recommended Amount,Approved Amount,Account Name,Fund,Fund Type,Program Number,Account Number
2015,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Communications,$7250.00,$7250.00,Communications, General Fund , Tax Supported Funds ,414100,52100
2015,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Utilities,$205915.04,$205915.04,Utilities, General Fund , Tax Supported Funds ,414100,52200
2015,Arts & Culture,Office of Arts & Culture,Arts and Culture,Contractual Services,Contracted Services,$21770.00,$21770.00,Contracted Services, General Fund , Tax Supported Funds ,414100,52900
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Utilities,$3729580.21,$3729580.21,Utilities, General Fund , Tax Supported Funds ,110100,52200
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Repairs Buildings & Structures,$2124671.52,$2124671.52,Repairs Buildings & Structures, General Fund , Tax Supported Funds ,110100,52600
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Repairs & Service To Equipment,$264298.00,$264298.00,Repairs & Service To Equipment, General Fund , Tax Supported Funds ,110100,52700
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Transportation of Persons,$64900.00,$64900.00,Transportation of Persons, General Fund , Tax Supported Funds ,110100,52800
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Contracted Services,$869614.00,$869614.00,Contracted Services, General Fund , Tax Supported Funds ,110100,52900
2015,Arts & Culture,Library Department,Community Library Services,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,110200,52800
2015,Arts & Culture,Library Department,Community Library Services,Contractual Services,Contracted Services,$440000.00,$440000.00,Contracted Services, General Fund , Tax Supported Funds ,110200,52900
2015,Arts & Culture,Library Department,Library Administration,Contractual Services,Communications,$45000.00,$45000.00,Communications, General Fund , Tax Supported Funds ,110100,52100
2015,Arts & Culture,Library Department,Research Library Services,Contractual Services,Transportation of Persons,$0.00,$0.00,Transportation of Persons, General Fund , Tax Supported Funds ,110300,52800
